Date,Trips
2017-04-09,498406
2017-04-10,414072
2017-04-11,423693
2017-04-12,441182
2017-04-13,471541
2017-04-14,488822
2017-04-15,513061
2017-04-16,468052
2017-04-17,398341
2017-04-18,428216
2017-04-19,481392
2017-04-20,510979
2017-04-21,568589
2017-04-22,578359
2017-04-23,496437
2017-04-24,444229
2017-04-25,546159
2017-04-26,488079
2017-04-27,506545
2017-04-28,543456
2017-04-29,587668
2017-04-30,494207
2017-05-01,428245
2017-05-02,449931
2017-05-03,468410
2017-05-04,498899
2017-05-05,617676
2017-05-06,593792
2017-05-07,501028
2017-05-08,437884
2017-05-09,457790
2017-05-10,473591
2017-05-11,496793
2017-05-12,531477
2017-05-13,681253
2017-05-14,488685
2017-05-15,444047
2017-05-16,466177
2017-05-17,500825
2017-05-18,532121
2017-05-19,556231
2017-05-20,576601
2017-05-21,487727
2017-05-22,498216
2017-05-23,458737
2017-05-24,476407
2017-05-25,559362
2017-05-26,493555
2017-05-27,485402
2017-05-28,450482
2017-05-29,388471
2017-05-30,439511
2017-05-31,458062
2017-06-01,465374
2017-06-02,515579
2017-06-03,555784
2017-06-04,494282
2017-06-05,455653
2017-06-06,495927
2017-06-07,497648
2017-06-08,531960
2017-06-09,552532
2017-06-10,594936
2017-06-11,518299
2017-06-12,470752
2017-06-13,498560
2017-06-14,506337
2017-06-15,520927
2017-06-16,553302
2017-06-17,590768
2017-06-18,498825
2017-06-19,503177
2017-06-20,477020
2017-06-21,504212
2017-06-22,504760
2017-06-23,575022
2017-06-24,592721
2017-06-25,480381
2017-06-26,432678
2017-06-27,479526
2017-06-28,480512
2017-06-29,489890
2017-06-30,524810
2017-07-01,519801
2017-07-02,452071
2017-07-03,405165
2017-07-04,399834
2017-07-05,430748
2017-07-06,444845
2017-07-07,541295
2017-07-08,539254
2017-07-09,487821
2017-07-10,446631
2017-07-11,470792
2017-07-12,505734
2017-07-13,544254
2017-07-14,581140
2017-07-15,582210
2017-07-16,524977
2017-07-17,465520
2017-07-18,490344
2017-07-19,523856
2017-07-20,557824
2017-07-21,579489
2017-07-22,601250
2017-07-23,515018
2017-07-24,484683
2017-07-25,461122
2017-07-26,487486
2017-07-27,523352
2017-07-28,557143
2017-07-29,575260
2017-07-30,517870
2017-07-31,455883
2017-08-01,473038
